key,requirements
apache-1.1,License Text in Source
apache-1.1,License Text in Documentation
apache-1.1,Usage Notice in Documentation
apache-1.1,No Use in Endorsements
apache-1.1,Name Restriction
apache-1.1,Warranty Disclaimer
apache-2.0,License Text in Source
apache-2.0,License Text in Documentation
apache-2.0,No Use in Endorsements
apache-2.0,Change Tracking in Source
apache-2.0,Warranty Disclaimer
apache-2.0,Indemnify Licensor
apache-2.0,Patent - Grant
apple-attribution,License Text in Source
apple-attribution,Warranty Disclaimer
apple-attribution,GPL Compatible
apple-attribution-1997,License Text in Source
apple-attribution-1997,License Text in Documentation
apple-attribution-1997,Warranty Disclaimer
apple-attribution-1997,GPL Compatible
acdl-1.0,License Text in Source
acdl-1.0,License Text in Documentation
acdl-1.0,Usage Notice in Documentation
acdl-1.0,Source Redistribution
acdl-1.0,Change Tracking in Source
acdl-1.0,No License Change
acdl-1.0,Patent - Rights Impairment
acdl-1.0,Warranty Disclaimer
apple-excl,License Text in Source
apple-excl,License Text in Documentation
apple-excl,No Use in Endorsements
apple-excl,Warranty Disclaimer
apple-excl,GPL Compatible
itunes,Platform Deployment Restriction
itunes,Restricted Redistribution
itunes,Restricted Modifications
itunes,No License Change
itunes,Prohibited in Aircraft
itunes,Prohibited in Medical
itunes,Prohibited in Nuclear
itunes,Export Controls
itunes,Warranty Disclaimer
itunes,Patent - Warning
aml,License Text in Source
aml,License Text in Documentation
aml,Warranty Disclaimer
aml,GPL Compatible
apple-mpeg-4,License Text in Source
apple-mpeg-4,License Text in Documentation
apple-mpeg-4,Platform Deployment Restriction
apple-mpeg-4,Restricted Redistribution
apple-mpeg-4,Specification Constraints
apple-mpeg-4,Warranty Disclaimer
apple-mpeg-4,Patent - Warning
apsl-1.0,License Text in Source
apsl-1.0,License Text in Documentation
apsl-1.0,Usage Notice in Documentation
apsl-1.0,Source Redistribution
apsl-1.0,Change Tracking in Source
apsl-1.0,Special Attribution Obligation
apsl-1.0,Export Controls
apsl-1.0,Patent - Rights Impairment
apsl-1.0,Warranty Disclaimer
apsl-1.0,Indemnify Licensor
apsl-1.0,Patent - Warning
apsl-1.1,License Text in Source
apsl-1.1,License Text in Documentation
apsl-1.1,Usage Notice in Documentation
apsl-1.1,Source Redistribution
apsl-1.1,Change Tracking in Source
apsl-1.1,Patent - Rights Impairment
apsl-1.1,Warranty Disclaimer
apsl-1.1,Indemnify Licensor
apsl-1.1,Patent - Warning
apsl-1.2,License Text in Source
apsl-1.2,License Text in Documentation
apsl-1.2,Usage Notice in Documentation
apsl-1.2,Source Redistribution
apsl-1.2,Change Tracking in Source
apsl-1.2,Patent - Rights Impairment
apsl-1.2,Warranty Disclaimer
apsl-1.2,Indemnify Licensor
apsl-1.2,Patent - Warning
apsl-2.0,License Text in Source
apsl-2.0,License Text in Documentation
apsl-2.0,Usage Notice in Documentation
apsl-2.0,Source Redistribution
apsl-2.0,Change Tracking in Source
apsl-2.0,Patent - Rights Impairment
apsl-2.0,Warranty Disclaimer
apsl-2.0,Indemnify Licensor
apsl-2.0,Network Redistribution
apsl-2.0,Patent - Warning
quicktime,Platform Deployment Restriction
quicktime,Restricted Redistribution
quicktime,Restricted Modifications
quicktime,Specification Constraints
quicktime,Prohibited in Aircraft
quicktime,Prohibited in Medical
quicktime,Prohibited in Nuclear
quicktime,Export Controls
quicktime,Warranty Disclaimer
quicktime,Patent - Warning
apple-sscl,License Text in Source
apple-sscl,Change Tracking in Source
apple-sscl,GPL Compatible
squeak,License Text in Source
squeak,License Text in Documentation
squeak,Usage Notice in Documentation
squeak,Source Redistribution
squeak,Restricted Redistribution
squeak,Restricted Modifications
squeak,Export Controls
squeak,Patent - Rights Impairment
squeak,Warranty Disclaimer
squeak,Indemnify Licensor
aptana-1.0,License Text in Source
aptana-1.0,License Text in Documentation
aptana-1.0,Usage Notice in Documentation
aptana-1.0,Source Redistribution
aptana-1.0,Change Tracking in Source
aptana-1.0,Restricted Redistribution
aptana-1.0,Export Controls
aptana-1.0,Patent - Rights Impairment
aptana-1.0,Patent - License Termination
aptana-1.0,Warranty Disclaimer
aravindan-premkumar,License Text in Source
aravindan-premkumar,License Text in Documentation
aravindan-premkumar,GPL Compatible
arphic-public,License Text in Source
arphic-public,License Text in Documentation
arphic-public,Source Redistribution
arphic-public,Change Tracking in Source
arphic-public,Special Attribution Obligation
arphic-public,Patent - Rights Impairment
arphic-public,Warranty Disclaimer
artistic-perl-1.0,License Text in Source
artistic-perl-1.0,License Text in Documentation
artistic-perl-1.0,No Use in Endorsements
artistic-perl-1.0,Source Redistribution
artistic-perl-1.0,Change Tracking in Source
artistic-perl-1.0,Patent - Rights Impairment
artistic-perl-1.0,Warranty Disclaimer
artistic-perl-1.0,GPL Compatible
artistic-1.0,License Text in Source
artistic-1.0,License Text in Documentation
artistic-1.0,No Use in Endorsements
artistic-1.0,Source Redistribution
artistic-1.0,Change Tracking in Source
artistic-1.0,Patent - Rights Impairment
artistic-1.0,Warranty Disclaimer
artistic-1.0-cl8,License Text in Source
artistic-1.0-cl8,License Text in Documentation
artistic-1.0-cl8,Source Redistribution
artistic-1.0-cl8,Change Tracking in Source
artistic-1.0-cl8,Patent - Rights Impairment
artistic-1.0-cl8,Warranty Disclaimer
artistic-2.0,License Text in Source
artistic-2.0,License Text in Documentation
artistic-2.0,Source Redistribution
artistic-2.0,Change Tracking in Source
artistic-2.0,No License Change
artistic-2.0,Patent - Rights Impairment
artistic-2.0,Warranty Disclaimer
aslr,License Text in Source
aslr,License Text in Documentation
aslr,Source Redistribution
aslr,Change Tracking in Source
aslr,No License Change
aslr,Patent - Rights Impairment
aslr,Patent - License Termination
aslr,Warranty Disclaimer
aslr,Indemnify Licensor
aslr,Patent - Grant
aslp,License Text in Source
aslp,Platform Deployment Restriction
aslp,Restricted Redistribution
aslp,No License Change
aslp,Warranty Disclaimer
aslp,Patent - Grant
asmus,License Text in Source
asmus,Warranty Disclaimer
asmus,GPL Compatible
asn1,License Text in Source
asn1,GPL Compatible
ati-eula,License Text in Source
ati-eula,License Text in Documentation
ati-eula,Platform Deployment Restriction
ati-eula,Restricted Redistribution
ati-eula,No License Change
ati-eula,Warranty Disclaimer
atmel-firmware,License Text in Documentation
atmel-firmware,No Use in Endorsements
atmel-firmware,Restricted Redistribution
atmel-firmware,Warranty Disclaimer
atmel-firmware,Patent - Warning
attribution,License Text in Source
attribution,License Text in Documentation
attribution,No Use in Endorsements
attribution,Export Controls
attribution,Warranty Disclaimer
attribution,GPL Compatible
anu-license,License Text in Source
anu-license,License Text in Documentation
anu-license,Warranty Disclaimer
anu-license,GPL Compatible
ozplb-1.0,License Text in Source
ozplb-1.0,License Text in Documentation
ozplb-1.0,No Use in Endorsements
ozplb-1.0,Warranty Disclaimer
ozplb-1.0,GPL Compatible
ozplb-1.1,License Text in Source
ozplb-1.1,License Text in Documentation
ozplb-1.1,No Use in Endorsements
ozplb-1.1,Warranty Disclaimer
ozplb-1.1,GPL Compatible
autoit-eula,License Text in Documentation
autoit-eula,Restricted Modifications
autoit-eula,No License Change
autoit-eula,Warranty Disclaimer
baekmuk-fonts,License Text in Source
baekmuk-fonts,License Text in Documentation
baekmuk-fonts,GPL Compatible
bahyph,License Text in Source
bahyph,Change Tracking in Source
bahyph,Special Attribution Obligation
bahyph,Warranty Disclaimer
bahyph,GPL Compatible
barr-tex,License Text in Source
barr-tex,Name Restriction
barr-tex,Warranty Disclaimer
barr-tex,GPL Compatible
bea-2.1,License Text in Source
bea-2.1,License Text in Documentation
bea-2.1,No Use in Endorsements
bea-2.1,Patent - License Termination
bea-2.1,Warranty Disclaimer
bea-2.1,Indemnify Licensor
bea-2.1,Patent - Grant
beal-screamer,License Text in Source
beal-screamer,Warranty Disclaimer
beal-screamer,GPL Compatible
beerware,License Text in Source
beerware,GPL Compatible
bsla,License Text in Source
bsla,License Text in Documentation
bsla,Usage Notice in Advertisement
bsla,No Use in Endorsements
bsla,Warranty Disclaimer
bigdigits,License Text in Source
bigdigits,License Text in Documentation
bigdigits,Warranty Disclaimer
bigdigits,GPL Compatible
bigelow-holmes,License Text in Source
bigelow-holmes,License Text in Documentation
bigelow-holmes,Restricted Modifications
bigelow-holmes,Warranty Disclaimer
bigelow-holmes,Patent - Grant
luxi,License Text in Source
luxi,No Use in Endorsements
luxi,Restricted Modifications
luxi,Warranty Disclaimer
biopython,License Text in Source
biopython,License Text in Documentation
biopython,No Use in Endorsements
biopython,Warranty Disclaimer
biopython,GPL Compatible
bitstream,License Text in Source
bitstream,License Text in Documentation
bitstream,No Use in Endorsements
bitstream,Name Restriction
bitstream,Restricted Redistribution
bitstream,Warranty Disclaimer
bittorrent-1.0,License Text in Source
bittorrent-1.0,License Text in Documentation
bittorrent-1.0,Source Redistribution
bittorrent-1.0,Change Tracking in Source
bittorrent-1.0,Patent - Rights Impairment
bittorrent-1.1,License Text in Source
bittorrent-1.1,License Text in Documentation
bittorrent-1.1,Source Redistribution
bittorrent-1.1,Change Tracking in Source
bittorrent-1.1,Patent - Rights Impairment
bittorrent-1.2,License Text in Source
bittorrent-1.2,License Text in Documentation
bittorrent-1.2,Source Redistribution
bittorrent-1.2,Change Tracking in Source
bittorrent-1.2,Patent - Rights Impairment
bittorrent-1.2,Patent - License Termination
bittorrent-1.2,Warranty Disclaimer
bittorrent-1.2,GPL Compatible
bitzi-pd,License Text in Source
bitzi-pd,Name Restriction
bitzi-pd,Warranty Disclaimer
bitzi-pd,GPL Compatible
boost-1.0,License Text in Source
boost-1.0,License Text in Documentation
boost-1.0,Warranty Disclaimer
boost-1.0,GPL Compatible
borceux,License Text in Source
borceux,Warranty Disclaimer
borceux,GPL Compatible
brad-martinez-vb-32,License Text in Source
brad-martinez-vb-32,License Text in Documentation
brad-martinez-vb-32,Non-Commercial Use Only
brad-martinez-vb-32,Restricted Redistribution
brad-martinez-vb-32,Warranty Disclaimer
brad-martinez-vb-32,GPL Compatible
brent-corkum,License Text in Source
brent-corkum,GPL Compatible
brian-clapper,License Text in Source
brian-clapper,License Text in Documentation
brian-clapper,Usage Notice in Documentation
brian-clapper,No Use in Endorsements
brian-clapper,Change Tracking in Source
brian-clapper,Warranty Disclaimer
brian-clapper,GPL Compatible
brian-gladman-3-clause,License Text in Source
brian-gladman-3-clause,License Text in Documentation
brian-gladman-3-clause,No Use in Endorsements
brian-gladman-3-clause,Warranty Disclaimer
brian-gladman-3-clause,GPL Compatible
brian-gladman-dual,License Text in Source
brian-gladman-dual,License Text in Documentation
brian-gladman-dual,No Use in Endorsements
brian-gladman-dual,Warranty Disclaimer
brian-gladman-dual,GPL Compatible
brian-gladman,License Text in Source
brian-gladman,License Text in Documentation
brian-gladman,Warranty Disclaimer
brian-gladman,GPL Compatible
broadcom-bsd,License Text in Source
broadcom-bsd,License Text in Documentation
broadcom-bsd,No Use in Endorsements
broadcom-bsd,Warranty Disclaimer
broadcom-bsd,GPL Compatible
broadcom-cfe,License Text in Source
broadcom-cfe,No Use in Endorsements
broadcom-cfe,Warranty Disclaimer
broadcom-cfe,GPL Compatible
broadcom-commercial,Restricted Redistribution
broadcom-commercial,Restricted Modifications
broadcom-commercial,No License Change
broadcom-confidential,Restricted Redistribution
broadcom-confidential,Restricted Modifications
broadcom-confidential,No License Change
broadcom-dual,License Text in Source
broadcom-dual,License Text in Documentation
broadcom-dual,Source Redistribution
broadcom-dual,Change Tracking in Source
broadcom-dual,Patent - Rights Impairment
broadcom-dual,Warranty Disclaimer
broadcom-dual,GPL Compatible
broadcom-proprietary,License Text in Source
broadcom-proprietary,License Text in Documentation
broadcom-proprietary,Platform Deployment Restriction
broadcom-proprietary,Restricted Redistribution
broadcom-proprietary,Restricted Modifications
broadcom-proprietary,No License Change
broadcom-proprietary,Specification Constraints
broadcom-proprietary,Prohibited in Aircraft
broadcom-proprietary,Prohibited in Medical
broadcom-proprietary,Prohibited in Nuclear
broadcom-proprietary,Export Controls
broadcom-proprietary,Patent - Rights Impairment
broadcom-proprietary,Warranty Disclaimer
broadcom-proprietary,Indemnify Licensor
broadcom-standard-terms,Platform Deployment Restriction
broadcom-standard-terms,Restricted Redistribution
broadcom-standard-terms,Restricted Modifications
broadcom-standard-terms,No License Change
broadcom-standard-terms,Warranty Disclaimer
broadcom-unpublished-source,Restricted Redistribution
broadcom-unpublished-source,Restricted Modifications
broadcom-unpublished-source,No License Change
broadcom-linux-timer,License Text in Source
broadcom-linux-timer,Warranty Disclaimer
broadcom-linux-timer,GPL Compatible
brocade-firmware,License Text in Source
brocade-firmware,License Text in Documentation
brocade-firmware,No Use in Endorsements
brocade-firmware,Warranty Disclaimer
brocade-firmware,Patent - Warning
bruno-podetti,License Text in Source
bruno-podetti,Warranty Disclaimer
bruno-podetti,GPL Compatible
bsd-1988,License Text in Source
bsd-1988,License Text in Documentation
bsd-1988,No Use in Endorsements
bsd-1988,Warranty Disclaimer
bsd-1988,GPL Compatible
bsd-2-clause-freebsd,License Text in Source
bsd-2-clause-freebsd,License Text in Documentation
bsd-2-clause-freebsd,Warranty Disclaimer
bsd-2-clause-freebsd,GPL Compatible
bsd-2-clause-netbsd,License Text in Source
bsd-2-clause-netbsd,License Text in Documentation
bsd-2-clause-netbsd,Warranty Disclaimer
bsd-2-clause-netbsd,GPL Compatible
bsd-ack-carrot2,License Text in Source
bsd-ack-carrot2,License Text in Documentation
bsd-ack-carrot2,No Use in Endorsements
bsd-ack-carrot2,Special Attribution Obligation
bsd-ack-carrot2,Warranty Disclaimer
bsd-ack-carrot2,GPL Compatible
bsd-ack,License Text in Source
bsd-ack,License Text in Documentation
bsd-ack,No Use in Endorsements
bsd-ack,Warranty Disclaimer
bsd-ack,GPL Compatible
bsd-protection,License Text in Source
bsd-protection,License Text in Documentation
bsd-protection,Source Redistribution
bsd-protection,Change Tracking in Source
bsd-protection,No License Change
bsd-protection,Patent - Rights Impairment
bsd-protection,Warranty Disclaimer
bsd-simplified-darwin,License Text in Source
bsd-simplified-darwin,License Text in Documentation
bsd-simplified-darwin,Warranty Disclaimer
bsd-simplified-darwin,GPL Compatible
bsd-source-code,License Text in Source
bsd-source-code,No Use in Endorsements
bsd-source-code,Warranty Disclaimer
bsd-2-clause-plus-advertizing,License Text in Source
bsd-2-clause-plus-advertizing,License Text in Documentation
bsd-2-clause-plus-advertizing,Usage Notice in Advertisement
bsd-2-clause-plus-advertizing,Warranty Disclaimer
bsd-export,License Text in Source
bsd-export,License Text in Documentation
bsd-export,No Use in Endorsements
bsd-export,Export Controls
bsd-export,Warranty Disclaimer
bsd-export,GPL Compatible
bsd-new,License Text in Source
bsd-new,License Text in Documentation
bsd-new,No Use in Endorsements
bsd-new,Warranty Disclaimer
bsd-new,GPL Compatible
bsd-original,License Text in Source
bsd-original,License Text in Documentation
bsd-original,Usage Notice in Advertisement
bsd-original,No Use in Endorsements
bsd-original,Warranty Disclaimer
bsd-original-uc,License Text in Source
bsd-original-uc,License Text in Documentation
bsd-original-uc,No Use in Endorsements
bsd-original-uc,Warranty Disclaimer
bsd-original-uc,GPL Compatible
bsd-original-uc-1986,License Text in Source
bsd-original-uc-1986,License Text in Documentation
bsd-original-uc-1986,No Use in Endorsements
bsd-original-uc-1986,Warranty Disclaimer
bsd-original-uc-1986,GPL Compatible
bsd-original-uc-1990,License Text in Source
bsd-original-uc-1990,License Text in Documentation
bsd-original-uc-1990,No Use in Endorsements
bsd-original-uc-1990,Warranty Disclaimer
bsd-original-uc-1990,GPL Compatible
bsd-simplified,License Text in Source
bsd-simplified,License Text in Documentation
bsd-simplified,Warranty Disclaimer
bsd-simplified,GPL Compatible
bsdi-license,License Text in Source
bsdi-license,Warranty Disclaimer
bsdi-license,GPL Compatible
bugsense-sdk,Platform Deployment Restriction
bugsense-sdk,Restricted Redistribution
bugsense-sdk,Restricted Modifications
bugsense-sdk,No License Change
bugsense-sdk,Warranty Disclaimer
bugsense-sdk,Indemnify Licensor
bytemark,License Text in Source
bytemark,Warranty Disclaimer
bytemark,GPL Compatible
bzip2-libbzip-1.0.5,License Text in Source
bzip2-libbzip-1.0.5,License Text in Documentation
bzip2-libbzip-1.0.5,No Use in Endorsements
bzip2-libbzip-1.0.5,Change Tracking in Source
bzip2-libbzip-1.0.5,Warranty Disclaimer
bzip2-libbzip-2010,License Text in Source
bzip2-libbzip-2010,License Text in Documentation
bzip2-libbzip-2010,No Use in Endorsements
bzip2-libbzip-2010,Change Tracking in Source
bzip2-libbzip-2010,Warranty Disclaimer
bzip2-libbzip-2010,GPL Compatible
cmigemo,License Text in Source
cmigemo,Restricted Modifications
caldera,License Text in Source
caldera,License Text in Documentation
caldera,Usage Notice in Advertisement
caldera,No Use in Endorsements
caldera,Warranty Disclaimer
carnegie-mellon-contributors,License Text in Source
carnegie-mellon-contributors,License Text in Documentation
carnegie-mellon-contributors,Warranty Disclaimer
carnegie-mellon-contributors,GPL Compatible
carnegie-mellon,License Text in Source
carnegie-mellon,License Text in Documentation
carnegie-mellon,Usage Notice in Documentation
carnegie-mellon,No Use in Endorsements
carnegie-mellon,Warranty Disclaimer
cavium-malloc,License Text in Source
cavium-malloc,License Text in Documentation
cavium-malloc,No Use in Endorsements
cavium-malloc,Warranty Disclaimer
cavium-malloc,GPL Compatible
cavium-targeted-hardware,License Text in Source
cavium-targeted-hardware,License Text in Documentation
cavium-targeted-hardware,Usage Notice in Advertisement
cavium-targeted-hardware,No Use in Endorsements
cavium-targeted-hardware,Platform Deployment Restriction
cavium-targeted-hardware,Export Controls
cavium-targeted-hardware,Warranty Disclaimer
cecill-1.0,License Text in Source
cecill-1.0,License Text in Documentation
cecill-1.0,Usage Notice in Documentation
cecill-1.0,Source Redistribution
cecill-1.0,Change Tracking in Source
